P_NAME;P_PERIOD;S_TEMPERATURE;P_DISTANCE;P_PERIASTRON;P_APASTRON;P_DISTANCE_EFF;P_FLUX;P_TEMP_EQUIL;P_TYPE;S_RADIUS_EST;S_TYPE_TEMP;S_LUMINOSITY;P_HABZONE_OPT;P_HABZONE_CON;P_TYPE_TEMP;P_HABITABLE;P_RADIUS_EST;P_MASS_EST;P_SEMI_MAJOR_AXIS_EST
Kepler-205 b;27556400;43210000;32000000;32000000;32000000;32000001;92268006;78960101;Superterran;55000000;M;94482438;0;0;Hot;0;15133500;29012671;32000000
Kepler-1491 b;16586176;57280000;12725468;12725468;12725468;12725468;58374554;70420776;Superterran;99000000;G;94530308;0;0;Hot;0;15133500;29012671;12725468
Kepler-299 b;29271280;56170000;40000000;40000000;40000000;40000001;59137207;12563485;Terran;10300000;G;94619531;0;0;Hot;0;13227800;23086002;40000000
Kepler-299 e;38285489;56170000;22000000;22000000;22000000;22000001;19549490;53570878;Superterran;10300000;G;94619531;0;0;Hot;0;18720700;41632686;22000000
Kepler-299 d;15054786;56170000;11800000;11800000;11800000;11800000;67954274;73147435;Superterran;10300000;G;94619531;0;0;Hot;0;18608600;41210313;11800000
Kepler-299 c;68858750;56170000;70000000;70000000;70000000;70000002;19310108;94971017;Neptunian;10300000;G;94619531;0;0;Hot;0;26455600;74891982;70000000
Kepler-952 b;13035469;57300000;50303016;50303016;50303016;50303017;37410152;35431723;Jovian;99000000;G;94662403;0;0;Hot;0;76452200;45383831;50303016
Kepler-1203 b;58800076;41050000;11834633;11834633;11834633;11834633;67591393;12990257;Terran;61000000;K;94667512;0;0;Hot;0;10649500;12177294;11834633
Kepler-374 d;50282190;59770000;56000000;56000000;56000000;56000001;30194539;10620061;Terran;91000000;G;94690074;0;0;Hot;0;13115700;22754822;56000000
Kepler-374 c;32828070;59770000;42000000;42000000;42000000;42000001;53679180;12262990;Terran;91000000;G;94690074;0;0;Hot;0;10985800;13612778;42000000
Kepler-374 b;18978060;59770000;29000000;29000000;29000000;29000001;11259224;14757814;Terran;91000000;G;94690074;0;0;Hot;0;10313200;10854299;29000000
K2-88 b;46122000;35370000;34500000;34500000;34500000;34500001;79641126;42798570;Terran;26000000;M;94792850;0;0;Hot;0;12331000;20491991;34500000
Kepler-1066 b;19315598;57620000;30143269;30143269;30143269;30143270;10438861;14481321;Superterran;98000000;G;94849231;0;0;Hot;0;23653100;61925912;30143269
KELT-19 A b;46117093;75000000;63700000;63700000;63700000;63700002;23396830;17718794;Jovian;18300000;A;94937082;0;0;Hot;0;21411100;12935600;63700000
Kepler-1161 b;10712525;42530000;79748307;79748307;79748307;79748309;14975349;50117471;Superterran;57000000;K;95240110;0;0;Hot;0;21299000;51829123;79748307
KOI-3680 b;14124167;58300000;59968627;26913600;79886400;55192609;38524921;33890719;Jovian;96000000;G;95390545;0;0;Hot;0;11097900;61340805;53400000
Kepler-1262 b;86790024;57710000;82357122;82357122;82357122;82357124;14071577;87746662;Superterran;98000000;G;95443223;0;0;Hot;0;18160200;39538581;82357122
Kepler-927 b;91149903;57430000;85092659;85092659;85092659;85092662;13192591;86343060;Superterran;99000000;G;95524396;0;0;Hot;0;17151300;35881927;85092659
HATS-33 b;25495551;56590000;37389264;34288400;40251600;37299883;69043562;13043770;Jovian;10200000;G;95597771;0;0;Hot;0;13788300;37885098;37270000
Kepler-308 c;15382310;58950000;12300000;12300000;12300000;12300000;63193057;71831056;Superterran;94000000;G;95604777;0;0;Hot;0;21635300;53226161;12300000
Kepler-308 b;96949280;58950000;90000000;90000000;90000000;90000002;11803059;83973751;Superterran;94000000;G;95604777;0;0;Hot;0;21186900;51366839;90000000
Kepler-344 c;12559681;57740000;48800000;48800000;48800000;48800001;40161347;36065917;Neptunian;98000000;G;95641839;0;0;Hot;0;29482300;90013132;48800000
Kepler-344 b;21963945;57740000;15300000;15300000;15300000;15300000;40856866;64411168;Neptunian;98000000;G;95641839;0;0;Hot;0;26119300;73282833;15300000
Kepler-796 b;64008762;54750000;65841061;65841061;65841061;65841063;22064012;98189723;Terran;10900000;G;95648494;0;0;Hot;0;13003600;22425611;65841061
K2-220 b;13683256;56600000;11040000;11040000;11040000;11040000;78490405;75831396;Superterran;10200000;G;95665361;0;0;Hot;0;23877300;62925768;11040000
Kepler-719 b;50073178;57770000;57076595;57076595;57076595;57076596;29419424;10551239;Jovian;98000000;G;95840764;0;0;Hot;0;85196000;54544006;57076595
Kepler-1314 b;54247493;41880000;50950261;50950261;50950261;50950263;36959538;62816906;Neptunian;59000000;K;95944340;0;0;Hot;0;51117600;22913624;50950261
Kepler-97 b;25866400;57790000;36116819;36116819;36116819;36116820;73575393;13268690;Terran;98000000;G;95973554;0;0;Hot;0;14797200;34961080;36116819
WASP-181 b;45195064;58390000;54270000;54270000;54270000;54270001;32588575;10824585;Jovian;96000000;G;95980943;0;0;Hot;0;13272640;95030573;54270000
Kepler-441 b;20724820;43400000;64320000;57600000;70400000;64080269;23593664;17722541;Superterran;55000000;K;96155237;0;0;Cold;0;16815000;34695604;64000000
K2-186 b;41474219;57840000;23599082;23599082;23599082;23599082;17292736;51953025;Neptunian;98000000;G;96306131;0;0;Hot;0;31724300;10194074;23599082
HD 42618 b;14961000;57270000;56399970;44874000;65926000;55653009;31986142;33837630;Neptunian;10000000;G;96382321;0;0;Hot;0;38883440;14400787;55400000
HD 32963 b;23720000;57270000;34183545;31713000;36487000;34120920;83115670;13666767;Jovian;10001470;G;96410654;0;0;Cold;0;13984382;22247960;34100000
Kepler-406 c;46233200;55380000;55540116;55540116;55540116;55540117;31279114;10714170;Terran;10700000;G;96486823;0;0;Hot;0;85196000;28604520;55540116
Kepler-406 b;24262900;55380000;36135379;36135379;36135379;36135380;73892912;13282983;Superterran;10700000;G;96486823;0;0;Hot;0;14348800;63565601;36135379
Kepler-269 b;53267180;58470000;61000000;61000000;61000000;61000002;25936049;10224001;Superterran;96000000;G;96508038;0;0;Hot;0;24662000;66476898;61000000
Kepler-269 c;81278990;58470000;81000000;81000000;81000000;81000002;14709349;88724441;Superterran;96000000;G;96508038;0;0;Hot;0;16927100;35089223;81000000
HAT-P-36 b;13273468;56200000;24100000;24100000;24100000;24100001;16644337;16272772;Jovian;10400000;G;96671974;0;0;Hot;0;14315170;58740972;24100000
K2-6 b;30941910;58500000;18980000;18980000;18980000;18980000;26844923;57990980;Superterran;96000000;G;96706258;0;0;Hot;0;24998300;68023267;18980000
Kepler-1369 b;25873148;57610000;17059023;17059023;17059023;17059023;33238563;61172393;Neptunian;99000000;G;96727628;0;0;Hot;0;26904000;77059808;17059023
Kepler-1264 b;96852602;57910000;19089540;19089540;19089540;19089541;26556090;18288831;Terran;98000000;G;96773190;0;0;Hot;0;11770500;17431784;19089540
Kepler-537 b;32475552;57630000;43887601;43887601;43887601;43887602;50288634;12064584;Terran;99000000;G;96862018;0;0;Hot;0;14124600;25805743;43887601
HIP 14810 d;98180000;55440000;19731983;15811000;22989000;19483945;26200384;18108970;Jovian;10700000;G;96905648;0;0;Cold;0;14089972;18751852;19400000
HIP 14810 c;14774700;55440000;55573172;46302660;63497340;55069670;32553374;34062455;Jovian;10700000;G;96905648;0;0;Hot;0;13604033;41635468;54900000
HIP 14810 b;66738920;55440000;70321513;59578296;79621704;69781623;20215295;95688920;Jovian;10700000;G;96905648;0;0;Hot;0;12966440;12395292;69600000
Kepler-1563 b;34327660;57650000;44525180;44525180;44525180;44525181;48926587;11982050;Subterran;99000000;G;96996549;0;0;Hot;0;75107000;34834272;44525180
Kepler-1183 b;28505719;57650000;18258464;18258464;18258464;18258464;29095633;59170040;Neptunian;99000000;G;96996549;0;0;Hot;0;28249200;83714933;18258464
eps Tau b;59490000;49010000;19520030;16385700;22214300;19355426;26348899;57472581;Jovian;13700000;K;97021635;0;0;Hot;0;12591335;24154928;19300000
Kepler-1479 b;14532614;57960000;11613161;11613161;11613161;11613161;72003468;74213560;Superterran;98000000;G;97107842;0;0;Hot;0;18272300;39953845;11613161
